Edgewater Oil Plant OH USA,United States of America,Please Select,41.47,-82.1853,171.2,Please Select,Please Select,"Lorain County, OH, USA",Please Select,1973-05-00,FirstEnergy Generation Corp,100,,,,,,
Eli Lilly and Co Tippecanoe Laboratories Oil Plant IN USA,United States of America,Please Select,40.4022,-86.9009,1.2,Please Select,Please Select,"Tippecanoe County, IN, USA",Please Select,1992-05-00,Eli Lilly & Co,100,,,,,,
Elk River Oil Plant MN USA,United States of America,Please Select,45.4464,-93.7767,9,Please Select,Please Select,"Sherburne County, MN, USA",Please Select,,Elk River City of,100,,,,,,
Ellinwood Oil Plant KS USA,United States of America,Please Select,38.4712,-98.751,8.5,Please Select,Please Select,"Barton County, KS, USA",Please Select,,Ellinwood City of,100,,,,,,
Ellis Oil Plant KS USA,United States of America,Please Select,38.9101,-99.3115,5.5,Please Select,Please Select,"Ellis County, KS, USA",Please Select,1960-07-00,Midwest Energy Inc,100,,,,,,
Elroy Oil Plant WI USA,United States of America,Please Select,43.9275,-90.1124,6.6,Please Select,Please Select,"Juneau County, WI, USA",Please Select,1972-00-00,Elroy City of,100,,,,,,
Emerson Oil Plant NE USA,United States of America,Please Select,42.4913,-96.8672,1.6,Please Select,Please Select,"Dixon County, NE, USA",Please Select,1968-01-00,Emerson City of,100,,,,,,
Emmonak Oil Plant AK USA,United States of America,Please Select,60.9214,-159.7663,2,Please Select,Please Select,"Bethel County, AK, USA",Please Select,1977-12-00,Alaska Village Elec Coop. Inc,100,,,,,,
Erie Energy Center Oil Plant KS USA,United States of America,Please Select,37.5548,-95.3042,20,Please Select,Please Select,"Neosho County, KS, USA",Please Select,1999-10-00,Erie City of,100,,,,,,
Erie Oil Plant KS USA,United States of America,Please Select,37.5548,-95.3042,6.8,Please Select,Please Select,"Neosho County, KS, USA",Please Select,1958-11-00,Erie City of,100,,,,,,
Erving Paper Mills Oil Plant MA USA,United States of America,Please Select,42.5805,-72.587,2.5,Please Select,Please Select,"Franklin County, MA, USA",Please Select,1988-07-00,Erving Paper Mills Inc,100,,,,,,
Essex Junction 19 Oil Plant VT USA,United States of America,Please Select,44.4585,-73.0788,11.2,Please Select,Please Select,"Chittenden County, VT, USA",Please Select,,Green Mountain Power Corp,100,,,,,,
Estherville Oil Plant IA USA,United States of America,Please Select,43.3759,-94.6885,17.6,Please Select,Please Select,"Emmet County, IA, USA",Please Select,1946-12-00,Estherville City of,100,,,,,,
ExxonMobil Beaumont Refinery Oil Plant TX USA,United States of America,Please Select,30.0639,-94.0703,695.6,Please Select,Please Select,"Jefferson County, TX, USA",Please Select,1978-01-00,Exxon Mobil,100,,,,,,
Factory Oil Plant IL USA,United States of America,Please Select,39.8272,-89.6297,26.6,Please Select,Please Select,"Sangamon County, IL, USA",Please Select,1973-08-00,Springfield City of,100,,,,,,
Fairbanks Oil Plant AK USA,United States of America,Please Select,64.8082,-146.5635,42.2,Please Select,Please Select,"Fairbanks County, AK, USA",Please Select,1970-05-00,Golden Valley Elec Assn Inc,100,,,,,,
Fairfield Oil Plant IL USA,United States of America,Please Select,38.4332,-88.4286,7.5,Please Select,Please Select,"Wayne County, IL, USA",Please Select,,Fairfield City of,100,,,,,,
Fairgrounds Oil Plant MO USA,United States of America,Please Select,38.5043,-92.2804,68.3,Please Select,Please Select,"Cole County, MO, USA",Please Select,1974-08-00,AmerenUE,100,,,,,,
Fairview Oil Plant OK USA,United States of America,Please Select,36.3139,-98.5328,1.8,Please Select,Please Select,"Major County, OK, USA",Please Select,1948-08-00,Fairview City of,100,,,,,,
Falls Oil Plant PA USA,United States of America,Please Select,40.1778,-74.7894,63.6,Please Select,Please Select,"Bucks County, PA, USA",Please Select,1970-05-00,Exelon Energy,100,,,,,,
False Island Oil Plant AK USA,United States of America,Please Select,55.9248,-131.1379,1.3,Please Select,Please Select,"Prince of Wales County, AK, USA",Please Select,2003-11-00,Alaska Power Co,100,,,,,,
Faulkton Oil Plant SD USA,United States of America,Please Select,45.0719,-99.1476,2.7,Please Select,Please Select,"Faulk County, SD, USA",Please Select,1969-00-00,Northwestern Energy (SD),100,,,,,,
Fayette Oil Plant MO USA,United States of America,Please Select,39.1434,-92.7017,10.9,Please Select,Please Select,"Howard County, MO, USA",Please Select,1985-07-00,Fayette City of,100,,,,,,
Fellsway Development LLC Oil Plant MA USA,United States of America,Please Select,42.4819,-71.3944,2.7,Please Select,Please Select,"Middlesex County, MA, USA",Please Select,1972-01-00,Fellsway Development LLC,100,,,,,,
Fennimore Oil Plant WI USA,United States of America,Please Select,42.858,-90.792,7.4,Please Select,Please Select,"Grant County, WI, USA",Please Select,1964-00-00,Fennimore City of,100,,,,,,
Fergus Control Ctr Oil Plant MN USA,United States of America,Please Select,46.4124,-95.713,2,Please Select,Please Select,"Otter Tail County, MN, USA",Please Select,1995-10-00,Otter Tail Power Co,100,,,,,,
Fermi Oil Plant MI USA,United States of America,Please Select,41.9267,-83.5456,1281,Please Select,Please Select,"Monroe County, MI, USA",Please Select,1988-01-00,Detroit Edison Co,100,,,,,,
Field Street Oil Plant FL USA,United States of America,Please Select,29.0608,-81.1897,48,Please Select,Please Select,"Volusia County, FL, USA",Please Select,2001-05-00,New Smyrna Beach City of,100,,,,,,
Florence Oil Plant VT USA,United States of America,Please Select,43.5786,-73.0366,9.2,Please Select,Please Select,"Rutland County, VT, USA",Please Select,1992-09-00,Omya Inc,100,,,,,,
Flos Inn Diesel Oil Plant ME USA,United States of America,Please Select,46.655,-68.5927,6,Please Select,Please Select,"Aroostook County, ME, USA",Please Select,1959-08-00,WPS Power Development Inc,100,,,,,,
Forest City Oil Plant IA USA,United States of America,Please Select,43.3769,-93.7379,22,Please Select,Please Select,"Winnebago County, IA, USA",Please Select,1958-01-00,Forest City City of,100,,,,,,
Fort Greely Power Plant Oil Plant AK USA,United States of America,Please Select,61.1496,-149.109,5.4,Please Select,Please Select,"Anchorage County, AK, USA",Please Select,1954-01-00,U S Army,100,,,,,,
Franklin Drive Oil Plant CT USA,United States of America,Please Select,41.7994,-73.1156,21.8,Please Select,Please Select,"Litchfield County, CT, USA",Please Select,1968-11-00,NRG Energy,100,,,,,,
Frederic Diesel Oil Plant WI USA,United States of America,Please Select,45.4644,-92.4413,13.7,Please Select,Please Select,"Polk County, WI, USA",Please Select,1948-12-00,Northwestern Wisconsin Elec Co,100,,,,,,
Frederickson Oil Plant WA USA,United States of America,Please Select,47.0203,-122.0994,169.2,Please Select,Please Select,"Pierce County, WA, USA",Please Select,1981-11-00,Puget Sound Energy Inc,100,,,,,,
Freeburg Oil Plant IL USA,United States of America,Please Select,38.4723,-89.9329,10.3,Please Select,Please Select,"St Clair County, IL, USA",Please Select,,Freeburg Village of,100,,,,,,
Front Street Oil Plant MA USA,United States of America,Please Select,42.1336,-72.6302,8.1,Please Select,Please Select,"Hampden County, MA, USA",Please Select,1978-01-00,Chicopee City of,100,,,,,,
Fulton Oil Plant MO USA,United States of America,Please Select,38.839,-91.9296,38.2,Please Select,Please Select,"Callaway County, MO, USA",Please Select,1972-08-00,Fulton City of,100,,,,,,
G E Turner Oil Plant FL USA,United States of America,Please Select,28.8686,-81.2728,180.8,Please Select,Please Select,"Volusia County, FL, USA",Please Select,1970-10-00,Progress Energy Florida,100,,,,,,
Gabbs Oil Plant NV USA,United States of America,Please Select,38.0418,-116.4658,5.4,Please Select,Please Select,"Nye County, NV, USA",Please Select,1969-01-00,Sierra Pacific Power Co,100,,,,,,
Galena Electric Utility Oil Plant AK USA,United States of America,Please Select,65.5002,-151.4198,4.4,Please Select,Please Select,"Yukon-Koyukuk County, AK, USA",Please Select,1990-01-00,Galena Electric Utility,100,,,,,,
Galion Oil Plant OH USA,United States of America,Please Select,40.8487,-82.9149,5.4,Please Select,Please Select,"Crawford County, OH, USA",Please Select,2001-07-00,OMEGAJV2,100,,,,,,
Gallatin Oil Plant MO USA,United States of America,Please Select,39.9594,-93.9929,7.2,Please Select,Please Select,"Daviess County, MO, USA",Please Select,1993-04-00,Gallatin City of,100,,,,,,
Garnett Municipal Oil Plant KS USA,United States of America,Please Select,38.2101,-95.2869,11.7,Please Select,Please Select,"Anderson County, KS, USA",Please Select,,Garnett City of,100,,,,,,
Gateway Gen Oil Plant VA USA,United States of America,Please Select,38.7052,-77.4828,1.8,Please Select,Please Select,"Prince William County, VA, USA",Please Select,1996-03-00,Manassas City of,100,,,,,,
General Electric Aircraft Engines Oil Plant MA USA,United States of America,Please Select,42.455,-70.9739,56.7,Please Select,Please Select,"Essex County, MA, USA",Please Select,1948-01-00,General Electric Co,100,,,,,,
Georgia Pacific Palatka Operations Oil Plant FL USA,United States of America,Please Select,29.6767,-81.6825,87.5,Please Select,Please Select,"Putnam County, FL, USA",Please Select,1956-06-00,Georgia Pacific,100,,,,,,
Gerald Andrus Oil Plant MS USA,United States of America,Please Select,33.3503,-91.1181,781.4,Please Select,Please Select,"Washington County, MS, USA",Please Select,1975-01-00,Entergy Mississippi Inc,100,,,,,,
Gilliam South Oil Plant IA USA,United States of America,Please Select,41.6828,-94.5105,1.8,Please Select,Please Select,"Guthrie County, IA, USA",Please Select,2001-02-00,Stuart City of,100,,,,,,
Gillum Oil Plant IL USA,United States of America,Please Select,40.4936,-88.8535,4,Please Select,Please Select,"McLean County, IL, USA",Please Select,2000-06-00,Corn Belt Energy Corporation,100,,,,,,
Gladstone Oil Plant MI USA,United States of America,Please Select,45.9203,-86.92,22.6,Please Select,Please Select,"Delta County, MI, USA",Please Select,1975-11-00,Upper Peninsula Power Co,100,,,,,,
Glencoe Oil Plant MN USA,United States of America,Please Select,44.8049,-94.256,36,Please Select,Please Select,"McLeod County, MN, USA",Please Select,1957-06-00,Glencoe Light & Power Comm,100,,,,,,
Glennallen Oil Plant AK USA,United States of America,Please Select,61.5695,-144.4363,8.5,Please Select,Please Select,"Valdez-Cordova County, AK, USA",Please Select,,Copper Valley Electric Assn Inc,100,,,,,,
Godwin Drive Plant Oil Plant VA USA,United States of America,Please Select,38.7052,-77.4828,6.3,Please Select,Please Select,"Prince William County, VA, USA",Please Select,1992-11-00,Manassas City of,100,,,,,,
Gold Creek Oil Plant AK USA,United States of America,Please Select,58.4609,-134.1781,10.1,Please Select,Please Select,"Juneau County, AK, USA",Please Select,1951-09-00,Alaska Electric Light&Power Co,100,,,,,,
Gowrie Oil Plant IA USA,United States of America,Please Select,42.4291,-94.1905,2.4,Please Select,Please Select,"Webster County, IA, USA",Please Select,1959-07-00,Gowrie Municipal Utilities,100,,,,,,
Graettinger Oil Plant IA USA,United States of America,Please Select,43.0821,-94.678,3.6,Please Select,Please Select,"Palo Alto County, IA, USA",Please Select,1957-08-00,Graettinger City of,100,,,,,,
Grafton Oil Plant ND USA,United States of America,Please Select,48.3702,-97.7224,4,Please Select,Please Select,"Walsh County, ND, USA",Please Select,1937-08-00,Grafton City of,100,,,,,,
Grand Forks Oil Plant ND USA,United States of America,Please Select,47.9228,-97.455,10.6,Please Select,Please Select,"Grand Forks County, ND, USA",Please Select,1941-08-00,Minnkota Power Coop Inc,100,,,,,,
Grand Junction Oil Plant IA USA,United States of America,Please Select,42.0362,-94.3969,1.7,Please Select,Please Select,"Greene County, IA, USA",Please Select,1994-12-00,Grand Junction City of,100,,,,,,
Grand Marais Oil Plant MN USA,United States of America,Please Select,47.9027,-90.5292,9.7,Please Select,Please Select,"Cook County, MN, USA",Please Select,2004-02-00,Grand Marais City of,100,,,,,,
Grantsburg Diesel Oil Plant WI USA,United States of America,Please Select,45.8632,-92.364,4.6,Please Select,Please Select,"Burnett County, WI, USA",Please Select,1963-12-00,Northwestern Wisconsin Elec Co,100,,,,,,
Gravel Neck Oil Plant VA USA,United States of America,Please Select,37.1575,-76.6911,407.7,Please Select,Please Select,"Surry County, VA, USA",Please Select,1970-08-00,Dominion Virginia Power,100,,,,,,
Greenfield Oil Plant IA USA,United States of America,Please Select,41.3333,-94.4784,6.1,Please Select,Please Select,"Adair County, IA, USA",Please Select,1952-07-00,Greenfield City of,100,,,,,,
Greenport Oil Plant NY USA,United States of America,Please Select,40.8803,-72.8434,6.8,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1997-08-00,Greenport Village of,100,,,,,,
Grimh Oil Plant WI USA,United States of America,Please Select,45.8807,-91.144,1.1,Please Select,Please Select,"Sawyer County, WI, USA",Please Select,1928-04-00,North Central Power Co Inc,100,,,,,,
Grundy Center Oil Plant IA USA,United States of America,Please Select,42.3994,-92.7977,8.7,Please Select,Please Select,"Grundy County, IA, USA",Please Select,1963-11-00,Grundy Center Mun Light & Power,100,,,,,,
Haines Oil Plant AK USA,United States of America,Please Select,59.1253,-135.5058,7.3,Please Select,Please Select,"Haines County, AK, USA",Please Select,1968-06-00,Alaska Power Co,100,,,,,,
Hallam Oil Plant NE USA,United States of America,Please Select,40.7847,-96.6803,56.7,Please Select,Please Select,"Lancaster County, NE, USA",Please Select,1973-06-00,Nebraska Public Power District,100,,,,,,
Hallock Oil Plant IL USA,United States of America,Please Select,40.7924,-89.7644,12.8,Please Select,Please Select,"Peoria County, IL, USA",Please Select,2000-06-00,AmerenCILCO,100,,,,,,
Halstad Oil Plant MN USA,United States of America,Please Select,47.3278,-96.4593,1.1,Please Select,Please Select,"Norman County, MN, USA",Please Select,1955-01-00,Halstad City of,100,,,,,,
Hamakua Energy Plant Oil Plant HI USA,United States of America,Please Select,19.6013,-155.5212,66,Please Select,Please Select,"Hawaii County, HI, USA",Please Select,2000-07-00,United States Power Fund LP,100,,,,,,
Hamilton Oil Plant PA USA,United States of America,Please Select,39.8716,-77.218,19.6,Please Select,Please Select,"Adams County, PA, USA",Please Select,1971-06-00,Reliant Energy Inc,100,,,,,,
Hana Substation Oil Plant HI USA,United States of America,Please Select,20.866,-156.5713,2,Please Select,Please Select,"Maui County, HI, USA",Please Select,2001-04-00,Maui Electric Co Ltd,100,,,,,,
Hanford Oil Plant CA USA,United States of America,Please Select,36.2694,-119.6468,27,Please Select,Please Select,"Kings County, CA, USA",Please Select,1990-09-00,Harbert Management Corporation,48,,,,,,
Hardeeville Oil Plant SC USA,United States of America,Please Select,32.4341,-81.0285,16.3,Please Select,Please Select,"Jasper County, SC, USA",Please Select,1968-04-00,South Carolina Electric&Gas Co,100,,,,,,
Harlan Oil Plant IA USA,United States of America,Please Select,41.6847,-95.3171,3.4,Please Select,Please Select,"Shelby County, IA, USA",Please Select,2001-07-00,Harlan City of,100,,,,,,
