Word,Definition
relish,"b'relish (countable and uncountable, plural relishes)\nA pleasing taste; flavor that gratifies the palate; hence, enjoyable quality; power of pleasing.1748. David Hume. Enquiries concerning the human understanding and concerning the principles of moral. London: Oxford University Press, 1973. \xc2\xa7 12.A Laplander or Negro has no notion of the relish of wine.MiltonMuch pleasure we have lost while we abstained / From this delightful fruit, nor known till now / True relish, tasting.AddisonWhen liberty is gone, / Life grows insipid, and has lost its relish.\n1748. David Hume. Enquiries concerning the human understanding and concerning the principles of moral. London: Oxford University Press, 1973. \xc2\xa7 12.A Laplander or Negro has no notion of the relish of wine.\nMiltonMuch pleasure we have lost while we abstained / From this delightful fruit, nor known till now / True relish, tasting.\nAddisonWhen liberty is gone, / Life grows insipid, and has lost its relish.\nSavor; quality; characteristic tinge.Alexander PopeIt preserves some relish of old writing.\nAlexander PopeIt preserves some relish of old writing.\nA taste for; liking; appetite; fondness.Macaulaya relish for whatever was excellent in artsCowperI have a relish for moderate praise, because it bids fair to be judicious.\nMacaulaya relish for whatever was excellent in arts\nCowperI have a relish for moderate praise, because it bids fair to be judicious.\nA cooked or pickled sauce, usually made with vegetables or fruits, generally used as a condiment.1994 July 21,  Faye Fiore,  \xe2\x80\x9cCongress relishes another franking privilege: Meat lobby puts on the dog with exclusive luncheon for lawmakers \xe2\x80\x93 experts on pork\xe2\x80\x9d, in  Los Angeles Times\xe2\x80\x8e[1]:Congressmen gleefully wolfed down every imaginable version of the hot dog\xc2\xa0\xe2\x80\x93 smoked kielbasas, jumbo grillers, Big & Juicy\'s, kosher dogs and spiced dogs\xc2\xa0\xe2\x80\x93 topped with every imaginable condiment\xc2\xa0\xe2\x80\x93 hot mustard, sweet mustard, jalapenos, spaghetti sauce, regular relish, corn relish, maple syrup salsa and the secret sauce of Rep. Jack Kingston (R-Ga.). (""If I told you the recipe,"" an aide explained, ""I\'d have to shoot you."")\n1994 July 21,  Faye Fiore,  \xe2\x80\x9cCongress relishes another franking privilege: Meat lobby puts on the dog with exclusive luncheon for lawmakers \xe2\x80\x93 experts on pork\xe2\x80\x9d, in  Los Angeles Times\xe2\x80\x8e[1]:Congressmen gleefully wolfed down every imaginable version of the hot dog\xc2\xa0\xe2\x80\x93 smoked kielbasas, jumbo grillers, Big & Juicy\'s, kosher dogs and spiced dogs\xc2\xa0\xe2\x80\x93 topped with every imaginable condiment\xc2\xa0\xe2\x80\x93 hot mustard, sweet mustard, jalapenos, spaghetti sauce, regular relish, corn relish, maple syrup salsa and the secret sauce of Rep. Jack Kingston (R-Ga.). (""If I told you the recipe,"" an aide explained, ""I\'d have to shoot you."")\nIn a wooden frame, the projection or shoulder at the side of, or around, a tenon, on a tenoned piece.\nSomething that is greatly liked or savoured.'"
relocate,"relocate (third-person singular simple present relocates, present participle relocating, simple past and past participle relocated)
(transitive) to move (something) from one place to another.We had to relocate the magazine rack because we bruised our shins on it too frequently when it was near the door.
(intransitive) to change one's domicile or place of business.Alfred relocated to Colorado Springs to take advantage of the boom in the defense industry."
rely,"When someone relies on something, they need it and they feel certain that it will be there."
remark,A remark is your spoken opinion or observation about something.
remedial,A below average class to improve one's skill before advancing to the next level of the class.
remediate,"remediate (third-person singular simple present remediates, present participle remediating, simple past and past participle remediated)
To correct or improve a deficiency or problem."
remodel,"remodel (third-person singular simple present remodels, present participle remodeling or remodelling, simple past and past participle remodeled or remodelled)
To change the appearance, layout, or furnishings of."
remote,"Something that is remote is a long way off, distant, not near anything.

Synonyms: apart and distant


Antonyms: close, convenient and nearby"
remove,"If you remove something, you take it out or away."
removes,The third-person singular form of remove.
rent,"Rent is the money you pay to borrow and use something, usually an apartment."
rental,A rental is something that is rented or borrowed.
reply,"If you reply to someone or something, you answer using words."
represent,To represent is to stand in the place of; to act the part of .
repulsive,"repulsive (comparative more repulsive, superlative most repulsive)
tending to rouse aversion or to repulse
(physics) having the capacity to repel"
request,"If you make a request, you ask somebody to do something or to give you something."
require,"If you require something, you need it."
requirement,"A requirement is something that you need, something that is necessary."
rerun,"b'rerun (plural reruns)\n(US) A television program shown after its initial presentation \xe2\x80\x94 particularly many weeks after its initial presentation; a repeat.\n(publishing) Another printing run (impression; batch of copies of a given edition) of a book, cartoon, etc.\n(politics) A political candidate who holds the same political agenda or doctrine as a past or incumbent holder of a given political office.\n(computing) A second or subsequent run of a program.Each rerun of the algorithm takes several minutes.'"
research,"Research is the process or result of trying to find an answer by reading, interviewing, watching, or doing experiments."
researcher,A researcher is somebody who does research.
resemble,"If two things resemble each other, it means they are similar or look like one another."
resort,Buildings in a scenic area where people can go on vacation or to relax; resorts are like hotels that provide extra entertainment to their guests.
respected,"If someone is respected, they have or deserve respect."
respectfully,"respectfully (comparative more respectfully, superlative most respectfully)
In a respectful manner."
responded,The past tense and past participle of respond.
rest,A pause or break.
rested,The past tense and past participle of rest.
restive,"b'restive (comparative more restive, superlative most restive)\nImpatient under delay, duress, or control.1914, Bram Stoker, ""Dracula\'s Guest"" in Dracula\'s Guest and Other Weird Stories:The horses were now more restive than ever, and Johann was trying to hold them in.1960,  P[elham] G[renville] Wodehouse,  chapter XV, in  Jeeves in the Offing, London: Herbert Jenkins, OCLC 1227855:\xe2\x80\x9cHullo, Bobbie,\xe2\x80\x9d I said. \xe2\x80\x9cHullo, Bertie,\xe2\x80\x9d she said. \xe2\x80\x9cHullo, Upjohn,\xe2\x80\x9d I said. The correct response to this would have been \xe2\x80\x9cHullo, Wooster\xe2\x80\x9d, but he blew up in his lines and merely made a noise like a wolf with its big toe caught in a trap. Seemed a bit restive, I thought, as if wishing he were elsewhere. Bobbie was all girlish animation. \xe2\x80\x9cI\'ve been telling Mr Upjohn about that big fish we saw in the lake yesterday, Bertie.\xe2\x80\x9d \xe2\x80\x9cAh yes, the big fish.\xe2\x80\x9d \xe2\x80\x9cIt was a whopper, wasn\'t it?\xe2\x80\x9d \xe2\x80\x9cVery well-developed.\xe2\x80\x9d \xe2\x80\x9cI brought him down here to show it to him.\xe2\x80\x9d \xe2\x80\x9cQuite right. You\'ll enjoy the big fish, Upjohn.\xe2\x80\x9d I had been perfectly correct in supposing him to be restive. He did his wolf impersonation once more. \xe2\x80\x9cI shall do nothing of the sort,\xe2\x80\x9d he said, and you couldn\'t find a better word than \xe2\x80\x9ctestily\xe2\x80\x9d to describe the way he spoke. \xe2\x80\x9cIt is most inconvenient for me to be away from the house at this time. I am expecting a telephone call from my lawyer.\xe2\x80\x9d\n1914, Bram Stoker, ""Dracula\'s Guest"" in Dracula\'s Guest and Other Weird Stories:The horses were now more restive than ever, and Johann was trying to hold them in.\n1960,  P[elham] G[renville] Wodehouse,  chapter XV, in  Jeeves in the Offing, London: Herbert Jenkins, OCLC 1227855:\xe2\x80\x9cHullo, Bobbie,\xe2\x80\x9d I said. \xe2\x80\x9cHullo, Bertie,\xe2\x80\x9d she said. \xe2\x80\x9cHullo, Upjohn,\xe2\x80\x9d I said. The correct response to this would have been \xe2\x80\x9cHullo, Wooster\xe2\x80\x9d, but he blew up in his lines and merely made a noise like a wolf with its big toe caught in a trap. Seemed a bit restive, I thought, as if wishing he were elsewhere. Bobbie was all girlish animation. \xe2\x80\x9cI\'ve been telling Mr Upjohn about that big fish we saw in the lake yesterday, Bertie.\xe2\x80\x9d \xe2\x80\x9cAh yes, the big fish.\xe2\x80\x9d \xe2\x80\x9cIt was a whopper, wasn\'t it?\xe2\x80\x9d \xe2\x80\x9cVery well-developed.\xe2\x80\x9d \xe2\x80\x9cI brought him down here to show it to him.\xe2\x80\x9d \xe2\x80\x9cQuite right. You\'ll enjoy the big fish, Upjohn.\xe2\x80\x9d I had been perfectly correct in supposing him to be restive. He did his wolf impersonation once more. \xe2\x80\x9cI shall do nothing of the sort,\xe2\x80\x9d he said, and you couldn\'t find a better word than \xe2\x80\x9ctestily\xe2\x80\x9d to describe the way he spoke. \xe2\x80\x9cIt is most inconvenient for me to be away from the house at this time. I am expecting a telephone call from my lawyer.\xe2\x80\x9d\nResistant to control; stubborn.1726 October 28,  [Jonathan Swift],  chapter VIII, in  Gulliver\xe2\x80\x99s Travels, volume II, London: Printed for Benj[amin] Motte, OCLC 995220039, part IV:Yet I am of opinion, this defect arises chiefly from a perverse, restive disposition; for they are cunning, malicious, treacherous, and revengeful.\n1726 October 28,  [Jonathan Swift],  chapter VIII, in  Gulliver\xe2\x80\x99s Travels, volume II, London: Printed for Benj[amin] Motte, OCLC 995220039, part IV:Yet I am of opinion, this defect arises chiefly from a perverse, restive disposition; for they are cunning, malicious, treacherous, and revengeful.\nRefusing to move, especially in a forward direction.'"
